연번,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,전화번호,홈페이지
157,한국관광협회중앙회,관광호텔업,3성,2025-12-20,서울,호텔 글래드 강남 코엑스센터,282,서울특별시 강남구 테헤란로 610,02-6474-5000,https://gladgangnamcoex-hotels.com/
158,한국관광협회중앙회,관광호텔업,5성,2025-12-18,서울,포시즌스 호텔 서울,317,서울특별시 종로구 새문안로 97,02-6388-5000,https://www.fourseasons.com/kr/seoul/
159,한국관광협회중앙회,관광호텔업,2성,2025-12-17,경기,바인호텔,66,경기도 성남시 중원구 산성대로 184,031-721-3350,http://www.hotel-vine.co.kr/
160,한국관광협회중앙회,한국전통호텔업,1성,2025-12-15,전남,한옥호텔오동재,40,전라남도 여수시 박람회길 99,061-650-0300,http://www.odongjae.com/
161,한국관광협회중앙회,소형호텔업,1성,2025-12-15,서울,호텔AROZO,24,서울특별시 영등포구 양산로1길 3-1,02-2677-5511,https://www.instagram.com/hotel_arozo/#
162,한국관광협회중앙회,소형호텔업,1성,2025-12-15,서울,호텔AROZO 2,24,서울특별시 영등포구 양산로1길 5,02-2677-5511,https://www.instagram.com/hotel_arozo/#
163,한국관광협회중앙회,관광호텔업,2성,2025-12-12,서울,호텔 씨에스 에비뉴,70,서울특별시 은평구 통일로 585-1,02-350-6900,http://hotelcs.co.kr
164,한국관광협회중앙회,관광호텔업,3성,2025-12-12,서울,주니비노호텔,68,서울특별시 마포구 양화진2길 31,02-332-7771,junibinohotel.com
165,한국관광협회중앙회,가족호텔업,2성,2025-12-09,서울,호텔리베라 아노블리,30,서울특별시 강남구 도산대로 419,02-541-3111,http://www.hotelriviera.co.kr/anobli/html/main.asp
166,한국관광협회중앙회,관광호텔업,3성,2025-12-03,경북,안동 그랜드 호텔,82,경상북도 안동시 관광단지로 346-84,054-851-9000,http://www.andonggrandhotel.com
167,한국관광협회중앙회,관광호텔업,3성,2025-11-30,서울,목시 서울 인사동 호텔,140,서울특별시 종로구 돈화문로11길 37,02-758-1700,http://www.moxyseoulinsadong.com
168,한국관광협회중앙회,관광호텔업,4성,2025-11-29,인천,오라카이송도파크호텔,275,인천광역시 연수구 테크노파크로 151,032-210-7000,http://www.orakaihotels.com
169,한국관광협회중앙회,관광호텔업,2성,2025-11-28,부산,브라운도트호텔 덕천점,47,부산광역시 북구 금곡대로8번길 20,051-341-3991,https://www.wnhotels.com/
170,한국관광협회중앙회,관광호텔업,3성,2025-11-28,인천,소울하다 계양,85,인천광역시 계양구 계양문화로 58,032-272-1700,http://www.soulhada.com
171,한국관광협회중앙회,관광호텔업,3성,2025-11-28,경기,쉐르빌온천관광호텔,68,경기도 양평군 개군면 신내길7번길 37,031-774-4101,http://www.cherevillehotel.com
172,한국관광협회중앙회,관광호텔업,3성,2025-11-28,강원,레고랜드 호텔,154,강원도 춘천시 하중도길 128,033-815-2300,https://www.legoland.kr/
173,한국관광협회중앙회,관광호텔업,5성,2025-11-28,부산,파크하얏트부산 호텔,269,부산광역시 해운대구 마린시티1로 51,051-990-1234,https://www.parkhyattbusan.com
174,한국관광협회중앙회,가족호텔업,2성,2025-11-27,전남,루미아호텔앤리조트,59,전라남도 완도군 신지면 울몰길 49,061-554-1000,https://lumiahotel.co.kr/
175,한국관광협회중앙회,관광호텔업,2성,2025-11-26,부산,호텔노아,51,부산광역시 중구 자갈치로47번길 3-1,051-710-6777,http://hotelnoah.com
176,한국관광협회중앙회,관광호텔업,1성,2025-11-25,경기,브라운도트호텔,55,경기 남양주시 별내면 청학로 77,없음,aaa7763@kakao.com
177,한국관광협회중앙회,가족호텔업,1성,2025-11-21,충남,롱비치가족호텔,33,충남 태안군 소원면 만리포2길 120,041-672-8822,longbeachhotel@naver.com
178,한국관광협회중앙회,관광호텔업,2성,2025-11-20,전남,(주)와이엔텍 호텔다향앤리조트,55,전남 보성군 조성면 조성3길 338,없음,https://www.bosungcc.co.kr/
179,한국관광협회중앙회,관광호텔업,2성,2025-11-12,경남,아세라빌라드아쿠아 호텔,62,경남 김해시 가락로24번길 15,055-321-8021,https://blog.naver.com/asherah_hotel
180,한국관광협회중앙회,관광호텔업,2성,2025-11-10,인천,3에스(S)호텔(검단점),93,인천광역시 서구 원당대로 874,032-568-5610,http://3sboutiquehotel.co.kr/
181,한국관광협회중앙회,관광호텔업,4성,2025-11-10,서울,라마다 서울 신도림 호텔,104,서울특별시 구로구 경인로 624,02-2162-2000,http://www.ramadasindorim.com
182,한국관광협회중앙회,관광호텔업,2성,2025-11-05,서울,마인드 관광호텔,65,서울특별시 금천구 남부순환로 1262,02-839-1220,http://mindhotel.co.kr/
183,한국관광협회중앙회,관광호텔업,3성,2025-11-05,전북,전주관광호텔 꽃심,101,전라북도 전주시 완산구 팔달로 171,063-232-5353,http://www.hotelkkotsim.com/
184,한국관광협회중앙회,소형호텔업,2성,2025-11-05,강원,호텔 인트로,20,강원도 춘천시 퇴계로77번길 22,033-253-1117,http://www.introhotel.co.kr
185,한국관광협회중앙회,관광호텔업,2성,2025-11-03,경북,영주온천관광호텔,52,경상북도 영주시 대학로240번길 8,054-634-7733,http://www.yeongjutouristhotel.co.kr
186,한국관광협회중앙회,관광호텔업,3성,2025-11-03,서울,임피리얼팰리스 부티크호텔,128,서울특별시용산구 이태원로 221,02-3702-8000,http://imperialpalaceboutiquehotel.com
187,한국관광협회중앙회,관광호텔업,2성,2025-10-29,경북,엘라포니시 풀빌라&호텔,52,경상북도 경주시 감포읍 동해안로 1594,054-741-5000,http://elafonisi.co.kr/
188,한국관광협회중앙회,관광호텔업,3성,2025-10-29,서울,호텔안테룸서울,112,서울특별시 강남구 도산대로 153,02-542-2300,https://www.anteroom-seoul.com/
189,한국관광협회중앙회,관광호텔업,5성,2025-10-29,서울,JW메리어트호텔 서울,379,서울특별시 서초구 신반포로 176,02-6282-6262,http://www.marriott.co.kr
190,한국관광협회중앙회,소형호텔업,2성,2025-10-29,경북,브라운도트 호텔 경주점,29,경북 경주시 진현로1길 4,없음,https://place-site.yanolja.com/places/10060217rooms=1&checkinDate=2025-07-01&checkoutDate=2025-07-02&capacityAdult=2&capacityChild=0
191,한국관광협회중앙회,가족호텔업,4성,2025-10-29,서울,보코서울강남,151,서울특별시 강남구 도산대로 144,02-518-0647,https://www.vocohotels.com/seoulgangnam
192,한국관광협회중앙회,관광호텔업,2성,2025-10-27,경기,엘가관광호텔,74,경기도 화성시 향남읍 평6길 46-1,031-366-3319,http://www.elgahotel.co.kr
193,한국관광협회중앙회,관광호텔업,5성,2025-10-24,부산,웨스틴 조선 부산,290,부산광역시 해운대구 동백로 67,051-749-7000,https://josunhotel.com/hotel/westinBusan.do
194,한국관광협회중앙회,관광호텔업,2성,2025-10-22,서울,호텔 데님,88,서울특별시 강남구 논현로 66,02-2058-1000,http://www.hoteldenim.com
195,한국관광협회중앙회,관광호텔업,2성,2025-10-22,부산,호텔포레 더 스파,47,부산광역시 동구 중앙대로296번길 6,051-463-6171, https://www.hotelforet.com/view/index.do
196,한국관광협회중앙회,관광호텔업,3성,2025-10-22,서울,뉴서울호텔,188,서울특별시 중구 세종대로22길 16,02-735-8800,http://www.newseoulhotel.co.kr
197,한국관광협회중앙회,관광호텔업,3성,2025-10-22,서울,솔라리아 니시테츠 호텔 서울 명동,312,서울특별시 중구 명동8길 27,02-773-1555,https://solaria-seoul.nnr-h.com/
198,한국관광협회중앙회,관광호텔업,3성,2025-10-22,경기,호텔라르,144,경기 김포시 고촌읍 장차로5번길 5-9,02-2665-1322,http://www.lartgimpo.com/html/main.asp
199,한국관광협회중앙회,관광호텔업,2성,2025-10-20,경기,웨스트9호텔,65,경기도 김포시 김포한강9로75번길 64,031-982-5821,http://west9hotel.com/
200,한국관광협회중앙회,가족호텔업,5성,2025-10-17,강원,세이지우드 호텔 홍천,32,강원도 홍천군 두촌면 광석로 898-87,033-439-1000,http://www.sagewood.co.kr/hongcheon
201,한국관광협회중앙회,관광호텔업,4성,2025-10-16,서울,힐튼 가든 인 서울 강남 ,208,서울특별시 서초구 강남대로 253,02-580-8500,www.hiltongardeninnseoulgangnam.co.kr  
202,한국관광협회중앙회,관광호텔업,4성,2025-10-16,서울,골든서울호텔,260,서울특별시강서구공항대로663,02-3397-2000,http://www.goldenseoul.com/
203,한국관광협회중앙회,관광호텔업,5성,2025-10-16,서울,노보텔앰배서더서울동대문호텔,331,서울특별시 중구 을지로 238,02-3425-8050,https://ambatel.com/novotel/dongdaemun/en/main.do
204,한국관광협회중앙회,관광호텔업,2성,2025-10-13,인천,W 관광호텔,40,인천 중구 월미로 211,032-772-6300,https://icwhotel.modoo.at
205,한국관광협회중앙회,관광호텔업,2성,2025-10-02,전남,남도호텔,50,전라남도 해남군 해남읍 영빈로 53,061-535-9595,http://www.namdohotel.com
206,한국관광협회중앙회,관광호텔업,3성,2025-10-02,강원,메이플비치 골프 & 리조트,54,강원특별자치도 강릉시 강동면 염전길 255,033-650-0000,https://maplebeach.co.kr/
207,한국관광협회중앙회,소형호텔업,2성,2025-10-02,경기,호텔가덴 비즈,18,경기도 수원시 권선구 경수대로335번길 10,031-239-5537,http://www.hotelgaden.com/home/
208,한국관광협회중앙회,관광호텔업,2성,2025-10-01,경기,제이비스(JBIS) 호텔,58,경기도 의정부시 청사로6번길 19-7,031-836-4500,www.jbishotel.com 
209,한국관광협회중앙회,관광호텔업,3성,2025-10-01,서울,도미인 익스프레스 서울 인사동,127,서울특별시 종로구 인사동길 20-9,02-738-6100,https://dormy-hotels.com/dormyinn/hotels/insadong/
210,한국관광협회중앙회,관광호텔업,3성,2025-10-01,전북,신라스테이 전주 호텔,210,전북특별자치도 전주시 완산구 현무1길 10,063-913-3400,https://www.shillastay.com/jeonju/index.do
211,한국관광협회중앙회,관광호텔업,5성,2025-09-30,서울,메이필드호텔,239,서울특별시 강서구 방화대로 94,02-2660-9000,https://www.mayfield.co.kr
212,한국관광협회중앙회,관광호텔업,5성,2025-09-26,서울,소피텔 앰배서더 서울 호텔 앤 서비스드 레지던스(관광호텔),403,서울특별시 송파구 잠실로 209,02-2902-6000,http://www.sofitel-seoul.com
213,한국관광협회중앙회,관광호텔업,2성,2025-09-25,경북,비치온 관광호텔,59,경상북도 울릉군 울릉읍 울릉순환로 772,054-791-0955,http://www.beachon.co.kr/
214,한국관광협회중앙회,관광호텔업,4성,2025-09-20,강원,Hotel Tops10,332,강원도 강릉시 옥계면 헌화로 455-34,033-530-4800,https://www.hotel-topsten.co.kr/
215,한국관광협회중앙회,관광호텔업,2성,2025-09-19,전남,호텔몬다비,87,전남 목포시 수강로4번길 33,061-242-2200,http://www.mondavihotel.com
216,한국관광협회중앙회,관광호텔업,3성,2025-09-19,서울,트레블로지 명동 을지로 호텔,224,서울특별시 중구 수표로 61,02-6240-5000,https://www.travelodgehotels.asia/travelodge-myeongdong-euljiro/kr/
217,한국관광협회중앙회,관광호텔업,3성,2025-09-19,강원,원주시티호텔 기업도시점,48,강원특별자치도 원주시 지정면 신무로 54-9,033-742-7777,http://citihotel.kr/gieob
218,한국관광협회중앙회,관광호텔업,4성,2025-09-19,경기,호텔스카이파크 센트럴 서울판교점,206,경기도 성남시 분당구 황새울로311번길 36,031-5170-7750,https://www.skyparkhotel.com/html/accommdation/accom9_tab1_01.asp
219,한국관광협회중앙회,관광호텔업,2성,2025-09-18,경남,(주)마산관광호텔,42,경상남도 창원시 마산합포구 수산1길 285,055-245-0070,http://www.masanhotel.co.kr
220,한국관광협회중앙회,가족호텔업,1성,2025-09-14,서울,신촌 EVER8 레지던스 호텔,47,서울특별시 서대문구 신촌역로 7,02-364-0807,http://www.ever8.co.kr/
221,한국관광협회중앙회,관광호텔업,3성,2025-09-12,경북,경주시티호텔,88,경북 경주시 북성로 127,054-775-8888,http://gyeongjucityhotel.com/
222,한국관광협회중앙회,관광호텔업,4성,2025-09-12,경북,(주)코오롱엘에스아이 코오롱호텔,317,경상북도 경주시 불국로 289-17,054-746-9001,http://www.kolonhotel.co.kr
223,한국관광협회중앙회,관광호텔업,2성,2025-09-11,서울,에이치에비뉴 호텔 이대점,94,서울특별시 마포구 신촌로 152,02-702-4577, https://map.naver.com/p/entry/place/724931180lng=126.9425272&lat=37.5563709&placePath=%2Fhome&entry=plt&searchType=place
224,한국관광협회중앙회,관광호텔업,3성,2025-09-11,서울,호텔 카푸치노,141,서울특별시강남구봉은사로155,02-2038-9500,https://hotelcappuccino.co.kr
225,한국관광협회중앙회,관광호텔업,3성,2025-09-08,서울,홈즈레드 명동,111,서울특별시 중구 퇴계로 176,02-541-8403,http://www.dearsmd.com
226,한국관광협회중앙회,가족호텔업,2성,2025-09-08,전남,유토피아가족호텔,38,전라남도 목포시 평화로 65-9,061-2853000,https://utopiahotel.kr/
227,한국관광협회중앙회,관광호텔업,2성,2025-09-04,충북,라마다 바이윈덤 호텔 충주 수안보,103,충청북도 충주시 수안보면 조산공원길 99,043-848-8833,http://ramadasuanbo.com
228,한국관광협회중앙회,관광호텔업,3성,2025-09-03,서울,신라스테이 서대문,319,서울특별시 서대문구 충정로 76,02-6388-9000,https://shillastay.com/seodaemun/index.dolang=ko
229,한국관광협회중앙회,관광호텔업,3성,2025-09-03,경기,이비스앰배서더수원,215,경기도수원시팔달구권광로132,031-230-5000,https://www.ambatel.com/ibis/suwon/ko/main.do
230,한국관광협회중앙회,관광호텔업,2성,2025-09-01,경기,부천호텔,98,경기도부천시길주로131,032-326-8181,http://www.bucheonhotel.co.kr
231,한국관광협회중앙회,관광호텔업,2성,2025-08-27,경북,주왕산관광호텔,46,경상북도 청송군 청송읍 중앙로 315,054-874-7000,http://www. Juwangspahotel.co.kr
232,한국관광협회중앙회,관광호텔업,1성,2025-08-26,경기,이끌림클래식호텔,84,경기도평택시포승읍평택항로184번길3-13,031-682-3207,없음
233,한국관광협회중앙회,관광호텔업,2성,2025-08-26,서울,캠프관광호텔,50,서울특별시양천구가로공원로167,02-2699-7356,https://camphotel.modoo.at
234,한국관광협회중앙회,관광호텔업,4성,2025-08-26,전남,라한호텔 목포,208,전라남도 영암군 삼호읍 대불로 91,061-463-2233,http://www.lahanhotels.com/mokpo
235,한국관광협회중앙회,관광호텔업,2성,2025-08-25,서울,볼(Voll) 관광호텔,53,서울 강서구 강서로5나길 30,02-2605-1970,https://hotelvollseoul.modoo.at/
236,한국관광협회중앙회,관광호텔업,4성,2025-08-25,서울,"더 링크 서울, 트리뷰트 포트폴리오 호텔",141,서울특별시 구로구 경인로 610,0285-26-7000,https://www.marriott.com/seltx
237,한국관광협회중앙회,관광호텔업,4성,2025-08-23,서울,호텔리베라서울,319,서울특별시강남구영동대로737,02-541-3111,http://room@hotelriviera.co.kr
238,한국관광협회중앙회,관광호텔업,3성,2025-08-22,서울,알로프트 서울 강남 호텔,188,서울특별시강남구영동대로736,02-510-9700,http://www.aloftseoulgangnam.com
239,한국관광협회중앙회,관광호텔업,3성,2025-08-22,경북,라한호텔 포항,160,경상북도 포항시 북구 삼호로265번길 1,054-230-7000,http://www.lahanhotels.com
240,한국관광협회중앙회,관광호텔업,3성,2025-08-19,경기,아일랜드캐슬 호텔,101,경기 의정부시 장곡로 22,031-894-0300,http://www.islandcastle.net/
241,한국관광협회중앙회,관광호텔업,2성,2025-08-18,서울,보보호텔,55,서울특별시 마포구 양화로 94,02-324-0021,http://www.bobohotel.net
242,한국관광협회중앙회,관광호텔업,2성,2025-08-13,경남,포르투나호텔,64,경상남도통영시미수해안로152,055-643-7000,http://www.bestfortuna.com
243,한국관광협회중앙회,관광호텔업,2성,2025-08-12,서울,맹그로브 신설,311,서울특별시 동대문구 왕산로 22,없음,https://mangrove.city/locations/sinseol/
244,한국관광협회중앙회,관광호텔업,2성,2025-08-12,경기,뉴스카이호텔,36,경기도 용인시 처인구 백암면 고안로 48,031-339-0064,없음
245,한국관광협회중앙회,관광호텔업,3성,2025-08-12,경기,어반이스트 호텔,99,경기도 고양시 덕양구 고양대로 1725,031-966-8202,http://www.urban-est.co.kr
246,한국관광협회중앙회,소형호텔업,2성,2025-08-12,서울,나무호텔,23,서울특별시 광진구 아차산로76가길 12,02-456-3271,http://www.namuhotel.com
247,한국관광협회중앙회,가족호텔업,2성,2025-08-11,전남,담양리조트가족호텔,36,전남 담양군 금성면 원율리 401,061-380-5000,www.damyangresort.com
248,한국관광협회중앙회,가족호텔업,2성,2025-08-11,경남,오아시스호텔,155,경상남도 거제시 장평4로2길 11-9,055-636-8900,http://www.geojeoasis.co.kr
249,한국관광협회중앙회,관광호텔업,4성,2025-08-09,부산,아스티 호텔,360,부산광역시동구중앙대로214번길7-8,051-409-8888,https://astihotel.co.kr/
250,한국관광협회중앙회,관광호텔업,3성,2025-08-08,서울,아리랑힐 호텔 동대문,190,서울특별시 성북구 아리랑로 8,02-925-7000,http://www.hotelahill.com
251,한국관광협회중앙회,관광호텔업,3성,2025-08-08,서울,(주)호텔롯데 롯데시티 호텔마포,284,서울특별시마포구마포대로109,02-6005-1743,https://www.lottehotel.com/mapo-city/ko.html
252,한국관광협회중앙회,관광호텔업,2성,2025-08-05,부산,(주)샤이어호텔,71,부산광역시 부산진구 부전로 18-5,051-806-7172,http://www.shiretel.com
253,한국관광협회중앙회,관광호텔업,3성,2025-08-05,부산,베니키아호텔 해운대,166,부산광역시 해운대구 해운대해변로 317,051-760-7000,http://www.hotelhaeundae.com/
254,한국관광협회중앙회,관광호텔업,1성,2025-08-04,경기,제니스관광호텔,59,경기 부천시 원미구 길주로77번길 19-24,032-329-3333,www.znshotel.com
255,한국관광협회중앙회,관광호텔업,5성,2025-08-04,충북,엔포드호텔 (주)중원산업,312,충청북도 청주시 청원구 충청대로 114,043-290-1000,https://enfordhotels.com/
256,한국관광협회중앙회,관광호텔업,4성,2025-08-01,경기,코트야드 바이 매리엇 서울 판교,280,경기도성남시분당구판교역로192번길12,031-8060-2000,http://www.marriott.co.kr/hotels/travel/selpn-courtyard-seoul-pangyo
257,한국관광협회중앙회,관광호텔업,2성,2025-07-30,경북,아리수경주호텔,80,경상북도 경주시 영불로 207,054-746-0000,www.arisuhotel.com
258,한국관광협회중앙회,관광호텔업,3성,2025-07-30,전남,호텔에디션스,75,전남 목포시 평화로 75,061-260-2900,www.editionshotel.com
259,한국관광협회중앙회,관광호텔업,4성,2025-07-30,서울,포포인츠바이쉐라톤서울강남,199,서울특별시강남구도산대로203,02-2160-8900,http://www.marriott.com/travel/selfg
260,한국관광협회중앙회,관광호텔업,2성,2025-07-22,인천,에이치에비뉴 인천서구청점,46,인천광역시 서구 탁옥로51번길 13-15,032-710-2690,없음
261,한국관광협회중앙회,관광호텔업,2성,2025-07-22,경남,호텔포마,35,경상남도 창원시 진해구 진해대로 2116,없음,없음
262,한국관광협회중앙회,관광호텔업,2성,2025-07-21,인천,호텔498,71,인천광역시연수구용담로85번길24,032-899-9300,http://hotel498.com
263,한국관광협회중앙회,관광호텔업,3성,2025-07-21,경북,체스터톤스 경주 더 테라스 호텔,83,경북 경주시 광중길 11,054-771-3600,https://www.chestertons-gyeongju.com/
264,한국관광협회중앙회,관광호텔업,4성,2025-07-19,경기,노보텔 앰배서더 수원,287,경기도수원시팔달구덕영대로902,031-547-6600,http://www.ambatel.com/novotel/suwon
265,한국관광협회중앙회,관광호텔업,1성,2025-07-15,서울,잠실스테이,53,서울특별시 송파구 삼전로 67,02-421-2761,https://jamsilstay.modoo.at/
266,한국관광협회중앙회,관광호텔업,2성,2025-07-15,부산,호텔 라온,67,부산광역시해운대구송정광어골로39,051-714-0003,http://www.busan-laon.com
267,한국관광협회중앙회,관광호텔업,4성,2025-07-15,울산,주식회사 라한호텔(울산),272,울산광역시 동구 방어진순환도로 875,052-251-2233,http://www.lahanhotels.com
268,한국관광협회중앙회,관광호텔업,4성,2025-07-15,전북,라한호텔전주,195,전라북도전주시완산구기린대로85,063-907-7410,https://lahanhotels.com/jeonju/index.do
269,한국관광협회중앙회,관광호텔업,5성,2025-07-15,전남,소노캄 여수 ,311,전라남도 여수시 오동도로 111,061-660-5800,http://www.sonohotelsresorts.com/yeosu
270,한국관광협회중앙회,관광호텔업,2성,2025-07-14,경남,아몬드키즈관광호텔,42,경상남도 김해시 활천로237번길 8-13,055-723-3535,http://almondkid.modoo.at
271,한국관광협회중앙회,관광호텔업,5성,2025-07-14,경북,힐튼호텔,330,경상북도 경주시 보문로 484-7,054-745-7788,http://www.hiltongyeongju.co.kr
272,한국관광협회중앙회,관광호텔업,3성,2025-07-11,인천,(주)조양 호텔소프라,148,인천광역시 서구 서곶로301번길 21,032-568-8700,http://www.hotelsopra.com
273,한국관광협회중앙회,관광호텔업,5성,2025-07-11,인천,쉐라톤그랜드인천호텔,321,인천광역시 연수구 컨벤시아대로 153,032-835-1002,https://www.marriott.com/ko/hotels/selgi-sheraton-grand-incheon-hotel/overview/
274,한국관광협회중앙회,관광호텔업,1성,2025-07-10,서울,호텔케이월드,54,서울특별시광진구동일로90,02-465-1141,https://hotelkworld.modoo.at
275,한국관광협회중앙회,관광호텔업,4성,2025-07-10,경기,롤링힐스 호텔,228,경기도 화성시 남양읍 시청로 290,031-268-1000,http://www.rollinghills.co.kr
276,한국관광협회중앙회,관광호텔업,4성,2025-07-09,경북,코모도호텔 경주,276,경상북도 경주시 보문로 422,054-740-8350,http://www.commodorehotel.co.kr/
277,한국관광협회중앙회,관광호텔업,3성,2025-07-08,전북,베스트웨스턴 군산호텔,181,전북특별자치도 군산시 새만금북로 435,063-469-1234,www.gunsanhotel.co.kr
278,한국관광협회중앙회,관광호텔업,3성,2025-07-04,서울,호텔 토마스 명동,123,서울특별시중구세종대로16길26,02-777-9500,https://hotelthomas.co.kr/
279,한국관광협회중앙회,관광호텔업,1성,2025-07-01,경기,제이스 관광호텔,44,경기 화성시 팔탄면 버들로1597번길 28,031-859-8991,월문제이스호텔
280,한국관광협회중앙회,관광호텔업,2성,2025-06-30,부산,그랜드베른호텔,60,부산광역시 영도구 해양로 38,05-1404-1300,www.grandbernhotel.com
281,한국관광협회중앙회,관광호텔업,2성,2025-06-30,경남,바이브호텔 김해장유점,38,경남 김해시 번화1로56번길 25,055-724-2533,https://new.smartplace.naver.com/bizes/place/9794496bookingBusinessId=1129816
282,한국관광협회중앙회,관광호텔업,4성,2025-06-26,서울,(주)호텔롯데 L7홍대,340,서울특별시 마포구 양화로 141,02-2289-1000,https://www.lottehotel.com/hongdae-l7/ko.html
283,한국관광협회중앙회,관광호텔업,5성,2025-06-21,대전,주식회사 신세계센트럴 호텔 오노마,171,대전광역시 유성구 엑스포로 1,042-259-8007,https://www.marriott.co.kr/CJJAK
284,한국관광협회중앙회,관광호텔업,2성,2025-06-19,경남,남해스포츠파크호텔,86,경상남도 남해군 서면 스포츠파크길 73,055-862-7900,없음
285,한국관광협회중앙회,관광호텔업,3성,2025-06-19,전남,신안비치 관광호텔,128,전라남도목포시해안로2,061-243-3399,http://www.shinanbeachhotel.com
286,한국관광협회중앙회,관광호텔업,3성,2025-06-18,서울,더리버사이드호텔,109,서울특별시서초구강남대로107길6,02-6710-1100,http://www.riversidehotel.co.kr/intro/intro.php
287,한국관광협회중앙회,관광호텔업,4성,2025-06-18,강원,드래곤밸리 호텔,195,강원특별자치도 평창군 대관령면 올림픽로 715,033-330-7111,http://www.yongpyong.co.kr
288,한국관광협회중앙회,소형호텔업,1성,2025-06-17,서울,오월호텔,28,서울특별시 강남구 언주로85길 27,02-557-5001,http://owallhotel.com
289,한국관광협회중앙회,관광호텔업,3성,2025-06-16,대구,퀸벨호텔,62,대구광역시동구동촌로200,053-282-1000,http://www.queenvell.com
290,한국관광협회중앙회,소형호텔업,2성,2025-06-13,전북,전주한옥마을호텔,24,전북특별자치도 전주시 완산구 전주천서로 45,063-232-7778,https://hoteljjhanokvillage.com/
291,한국관광협회중앙회,가족호텔업,3성,2025-06-13,경남,CLUB E· S(클럽이에스)통영리조트,106,경상남도 통영시 산양읍 척포길 628-113,055-644-0096,https://www.clubes.co.kr/
292,한국관광협회중앙회,관광호텔업,5성,2025-06-12,서울,(주)서부티엔디 노보텔 앰배서더 서울 용산,621,서울특별시 용산구 청파로20길 95,02-2223-7522,https://sdc-club.com
293,한국관광협회중앙회,관광호텔업,2성,2025-06-11,부산,호텔 오션뷰,30,부산광역시 수영구 광안해변로278번길 42,051-755-2777,없음
294,한국관광협회중앙회,가족호텔업,2성,2025-06-11,충남,말리오션스파,47,충청남도 태안군 소원면 만리포1길 95,041-675-3877,없음
295,한국관광협회중앙회,관광호텔업,4성,2025-05-31,서울,(주)조선호텔앤리조트 포포인츠 조선 서울역,342,서울특별시 용산구 한강대로 366,02-6070-7021,https://www.josunhotel.com/intro.do
296,한국관광협회중앙회,관광호텔업,5성,2025-05-30,서울,SK 네트웍스 (주) 워커힐-그랜드 워커힐,539,서울특별시 광진구 워커힐로 177,02-450-4646,http://www.walkerhill.co.kr
297,한국관광협회중앙회,관광호텔업,3성,2025-05-23,서울,호텔 그레이스리 서울,336,서울특별시 중구 세종대로12길 12,02-6936-0100,https://graceryseoul.com/
298,한국관광협회중앙회,소형호텔업,1성,2025-05-22,경북,라우스데오,29,경상북도 포항시 북구 장량로127번길 6,054-255-6000,없음
299,한국관광협회중앙회,소형호텔업,1성,2025-05-22,경남,오션스파호텔,27,경상남도 고성군 고성읍 신월로 60,055-673-7781,https://blog.naver.com/oceanspa2019
300,한국관광협회중앙회,관광호텔업,2성,2025-05-20,인천,주식회사 구월호텔론도인천문화예술회관,54,인천광역시 남동구 인하로507번길 50,032-472-9540,https://booking.naver.com/booking/3/bizes/1294096
301,한국관광협회중앙회,관광호텔업,5성,2025-05-20,강원,씨마크호텔,150,강원특별자치도 강릉시 해안로406번길 2,033-650-7000,http://www.seamarqhotel.com
302,한국관광협회중앙회,관광호텔업,5성,2025-05-19,서울, SK 네트웍스 (주) 워커힐 - 비스타 워커힐,244,서울특별시 광진구 워커힐로 177,02-1670-0005,https://www.walkerhill.com/
303,한국관광협회중앙회,관광호텔업,2성,2025-05-16,인천,천천호텔,48,인천광역시 중구 월미로 221,032-777-4509,https://place-site.yanolja.com/places/10060959checkinDate=2025-02-24&checkoutDate=2025-02-25&capacityAdult=2&capacityChild=0
304,한국관광협회중앙회,관광호텔업,2성,2025-05-16,울산,온더웨이브호텔,30,울산광역시 울주군 서생면 간절곶해안길 37,052-237-1127,http://www.온더웨이브호텔.com
305,한국관광협회중앙회,한국전통호텔업,2성,2025-05-16,인천,연화문호텔을왕,44,인천광역시 중구 용유서로304번길 12,033-752-8968,http://yeanhwamoonhotel.co.kr/
306,한국관광협회중앙회,소형호텔업,1성,2025-05-16,서울,부티크 호텔 XYM,29,서울특별시 송파구 송이로 104,02-409-5919,없음
307,한국관광협회중앙회,관광호텔업,2성,2025-05-13,대전,컨티뉴호텔,51,대전 서구 월평로 53-9,없음,없음
308,한국관광협회중앙회,가족호텔업,5성,2025-05-13,서울,반얀트리클럽앤스파서울,50,서울특별시 중구 장충단로 60,02-2250-8000,http://www.banyantreeclub.com/kr/
309,한국관광협회중앙회,관광호텔업,3성,2025-05-12,경기,호텔아르떼,54,경기도 수원시 팔달구 인계로108번길 37,031-8067-6600,http://www.hotelarte.co.kr
310,한국관광협회중앙회,관광호텔업,2성,2025-05-08,서울,누베르 서울호텔,69,서울특별시 용산구 우사단로14길 11,02-795-8128,https://nouvelleseoul.modoo.at/
311,한국관광협회중앙회,관광호텔업,2성,2025-05-08,대구,호텔골든캐프,54,대구광역시 동구 율암로 156-28,053-965-9000,없음
312,한국관광협회중앙회,관광호텔업,3성,2025-05-07,전남,폰타나비치관광호텔,67,전라남도 목포시 평화로 69,061-288-7000,없음
